purchase_id,customer_id,preferred_shopping_platform,sports_equipment_spending_per_month,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit
PUR001837,CUST1837,Flipkart,2800,3,3500,Gloves,3,High,0.41,Debit Card,Medium,No
PUR001838,CUST1838,Amazon,4400,5,5600,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001839,CUST1839,Local Store,1920,1,2220,Accessories,1,High,0.58,Cash on Delivery,Low,No
PUR001840,CUST1840,Brand Website,6250,8,8050,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001841,CUST1841,Amazon,3980,5,5080,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001842,CUST1842,Flipkart,2440,2,2940,Jerseys,2,High,0.51,Debit Card,Low,No
PUR001843,CUST1843,Brand Website,7480,10,9680,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001844,CUST1844,Local Store,1610,1,1860,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001845,CUST1845,Amazon,4860,6,6160,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001846,CUST1846,Brand Website,6860,9,8760,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001847,CUST1847,Flipkart,2950,3,3650,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001848,CUST1848,Amazon,4200,5,5400,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001849,CUST1849,Local Store,1820,1,2120,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001850,CUST1850,Brand Website,6420,8,8220,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001851,CUST1851,Amazon,3830,4,4930,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001852,CUST1852,Flipkart,2380,2,2880,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001853,CUST1853,Brand Website,7830,10,10030,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001854,CUST1854,Local Store,1650,1,1950,Accessories,1,Medium,0.34,Cash on Delivery,Low,No
PUR001855,CUST1855,Amazon,5050,6,6350,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001856,CUST1856,Brand Website,7110,9,9010,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001857,CUST1857,Flipkart,2810,3,3510,Gloves,3,High,0.41,Debit Card,Medium,No
PUR001858,CUST1858,Amazon,4410,5,5610,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001859,CUST1859,Local Store,1930,1,2230,Accessories,1,High,0.58,Cash on Delivery,Low,No
PUR001860,CUST1860,Brand Website,6260,8,8060,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001861,CUST1861,Amazon,3990,5,5090,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001862,CUST1862,Flipkart,2450,2,2950,Jerseys,2,High,0.51,Debit Card,Low,No
PUR001863,CUST1863,Brand Website,7490,10,9690,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001864,CUST1864,Local Store,1620,1,1870,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001865,CUST1865,Amazon,4870,6,6170,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001866,CUST1866,Brand Website,6870,9,8770,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001867,CUST1867,Flipkart,2960,3,3660,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001868,CUST1868,Amazon,4210,5,5410,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001869,CUST1869,Local Store,1830,1,2130,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001870,CUST1870,Brand Website,6430,8,8230,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001871,CUST1871,Amazon,3840,4,4940,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001872,CUST1872,Flipkart,2390,2,2890,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001873,CUST1873,Brand Website,7840,10,10040,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001874,CUST1874,Local Store,1660,1,1960,Accessories,1,Medium,0.34,Cash on Delivery,Low,No
PUR001875,CUST1875,Amazon,5060,6,6360,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001876,CUST1876,Brand Website,7120,9,9020,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001877,CUST1877,Flipkart,2820,3,3520,Gloves,3,High,0.41,Debit Card,Medium,No
PUR001878,CUST1878,Amazon,4420,5,5620,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001879,CUST1879,Local Store,1940,1,2240,Accessories,1,High,0.58,Cash on Delivery,Low,No
PUR001880,CUST1880,Brand Website,6270,8,8070,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001881,CUST1881,Amazon,4000,5,5100,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001882,CUST1882,Flipkart,2460,2,2960,Jerseys,2,High,0.51,Debit Card,Low,No
PUR001883,CUST1883,Brand Website,7500,10,9700,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001884,CUST1884,Local Store,1630,1,1880,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001885,CUST1885,Amazon,4880,6,6180,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001886,CUST1886,Brand Website,6880,9,8780,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001887,CUST1887,Flipkart,2970,3,3670,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001888,CUST1888,Amazon,4220,5,5420,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001889,CUST1889,Local Store,1840,1,2140,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001890,CUST1890,Brand Website,6440,8,8240,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001891,CUST1891,Amazon,3850,4,4950,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001892,CUST1892,Flipkart,2400,2,2900,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001893,CUST1893,Brand Website,7850,10,10050,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001894,CUST1894,Local Store,1670,1,1970,Accessories,1,Medium,0.34,Cash on Delivery,Low,No
PUR001895,CUST1895,Amazon,5070,6,6370,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001896,CUST1896,Brand Website,7130,9,9030,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001897,CUST1897,Flipkart,2830,3,3530,Gloves,3,High,0.41,Debit Card,Medium,No
PUR001898,CUST1898,Amazon,4430,5,5630,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001899,CUST1899,Local Store,1950,1,2250,Accessories,1,High,0.58,Cash on Delivery,Low,No
PUR001900,CUST1900,Brand Website,6280,8,8080,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001901,CUST1901,Amazon,4010,5,5110,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001902,CUST1902,Flipkart,2470,2,2970,Jerseys,2,High,0.52,Debit Card,Low,No
PUR001903,CUST1903,Brand Website,7510,10,9710,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001904,CUST1904,Local Store,1640,1,1890,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR001905,CUST1905,Amazon,4890,6,6190,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001906,CUST1906,Brand Website,6890,9,8790,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001907,CUST1907,Flipkart,2980,3,3680,Gloves,3,High,0.45,Debit Card,Medium,No
PUR001908,CUST1908,Amazon,4230,5,5430,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001909,CUST1909,Local Store,1850,1,2150,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001910,CUST1910,Brand Website,6450,8,8250,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001911,CUST1911,Amazon,3860,4,4960,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001912,CUST1912,Flipkart,2410,2,2910,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001913,CUST1913,Brand Website,7860,10,10060,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001914,CUST1914,Local Store,1680,1,1980,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR001915,CUST1915,Amazon,5080,6,6380,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001916,CUST1916,Brand Website,7140,9,9040,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001917,CUST1917,Flipkart,2840,3,3540,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001918,CUST1918,Amazon,4440,5,5640,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001919,CUST1919,Local Store,1960,1,2260,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR001920,CUST1920,Brand Website,6290,8,8090,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001921,CUST1921,Amazon,4020,5,5120,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001922,CUST1922,Flipkart,2480,2,2980,Jerseys,2,High,0.52,Debit Card,Low,No
PUR001923,CUST1923,Brand Website,7520,10,9720,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001924,CUST1924,Local Store,1650,1,1900,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR001925,CUST1925,Amazon,4900,6,6200,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001926,CUST1926,Brand Website,6900,9,8800,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001927,CUST1927,Flipkart,2990,3,3690,Gloves,3,High,0.45,Debit Card,Medium,No
PUR001928,CUST1928,Amazon,4240,5,5440,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001929,CUST1929,Local Store,1860,1,2160,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001930,CUST1930,Brand Website,6460,8,8260,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001931,CUST1931,Amazon,3870,4,4970,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001932,CUST1932,Flipkart,2420,2,2920,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001933,CUST1933,Brand Website,7870,10,10070,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001934,CUST1934,Local Store,1690,1,1990,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR001935,CUST1935,Amazon,5090,6,6390,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001936,CUST1936,Brand Website,7150,9,9050,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001937,CUST1937,Flipkart,2850,3,3550,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001938,CUST1938,Amazon,4450,5,5650,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001939,CUST1939,Local Store,1970,1,2270,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR001940,CUST1940,Brand Website,6300,8,8100,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001941,CUST1941,Amazon,4030,5,5130,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001942,CUST1942,Flipkart,2490,2,2990,Jerseys,2,High,0.52,Debit Card,Low,No
PUR001943,CUST1943,Brand Website,7530,10,9730,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001944,CUST1944,Local Store,1660,1,1910,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR001945,CUST1945,Amazon,4910,6,6210,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001946,CUST1946,Brand Website,6910,9,8810,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001947,CUST1947,Flipkart,3000,3,3700,Gloves,3,High,0.45,Debit Card,Medium,No
PUR001948,CUST1948,Amazon,4250,5,5450,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001949,CUST1949,Local Store,1870,1,2170,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001950,CUST1950,Brand Website,6470,8,8270,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001951,CUST1951,Amazon,3880,4,4980,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001952,CUST1952,Flipkart,2430,2,2930,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001953,CUST1953,Brand Website,7880,10,10080,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001954,CUST1954,Local Store,1700,1,2000,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR001955,CUST1955,Amazon,5100,6,6400,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001956,CUST1956,Brand Website,7160,9,9060,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001957,CUST1957,Flipkart,2860,3,3560,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001958,CUST1958,Amazon,4460,5,5660,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001959,CUST1959,Local Store,1980,1,2280,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR001960,CUST1960,Brand Website,6310,8,8110,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001961,CUST1961,Amazon,4040,5,5140,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001962,CUST1962,Flipkart,2500,2,3000,Jerseys,2,High,0.52,Debit Card,Low,No
PUR001963,CUST1963,Brand Website,7540,10,9740,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001964,CUST1964,Local Store,1670,1,1920,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR001965,CUST1965,Amazon,4920,6,6220,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001966,CUST1966,Brand Website,6920,9,8820,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001967,CUST1967,Flipkart,3010,3,3710,Gloves,3,High,0.45,Debit Card,Medium,No
PUR001968,CUST1968,Amazon,4260,5,5460,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001969,CUST1969,Local Store,1880,1,2180,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001970,CUST1970,Brand Website,6480,8,8280,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001971,CUST1971,Amazon,3890,4,4990,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001972,CUST1972,Flipkart,2440,2,2940,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001973,CUST1973,Brand Website,7890,10,10090,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001974,CUST1974,Local Store,1710,1,2010,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR001975,CUST1975,Amazon,5110,6,6410,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001976,CUST1976,Brand Website,7170,9,9070,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001977,CUST1977,Flipkart,2870,3,3570,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001978,CUST1978,Amazon,4470,5,5670,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001979,CUST1979,Local Store,1990,1,2290,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR001980,CUST1980,Brand Website,6320,8,8120,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001981,CUST1981,Amazon,4050,5,5150,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001982,CUST1982,Flipkart,2510,2,3010,Jerseys,2,High,0.52,Debit Card,Low,No
PUR001983,CUST1983,Brand Website,7550,10,9750,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001984,CUST1984,Local Store,1680,1,1930,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR001985,CUST1985,Amazon,4930,6,6230,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR001986,CUST1986,Brand Website,6930,9,8830,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001987,CUST1987,Flipkart,3020,3,3720,Gloves,3,High,0.45,Debit Card,Medium,No
PUR001988,CUST1988,Amazon,4270,5,5470,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001989,CUST1989,Local Store,1890,1,2190,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001990,CUST1990,Brand Website,6490,8,8290,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001991,CUST1991,Amazon,3900,4,5000,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001992,CUST1992,Flipkart,2450,2,2950,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001993,CUST1993,Brand Website,7900,10,10100,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001994,CUST1994,Local Store,1720,1,2020,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR001995,CUST1995,Amazon,5120,6,6420,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR001996,CUST1996,Brand Website,7180,9,9080,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001997,CUST1997,Flipkart,2880,3,3580,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001998,CUST1998,Amazon,4480,5,5680,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR001999,CUST1999,Local Store,2000,1,2300,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002000,CUST2000,Brand Website,6330,8,8130,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002001,CUST2001,Amazon,4060,5,5160,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002002,CUST2002,Flipkart,2520,2,3020,Jerseys,2,High,0.52,Debit Card,Low,No
PUR002003,CUST2003,Brand Website,7560,10,9760,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR002004,CUST2004,Local Store,1690,1,1940,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR002005,CUST2005,Amazon,4940,6,6240,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR002006,CUST2006,Brand Website,6940,9,8840,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002007,CUST2007,Flipkart,3030,3,3730,Gloves,3,High,0.45,Debit Card,Medium,No
PUR002008,CUST2008,Amazon,4280,5,5480,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR002009,CUST2009,Local Store,1900,1,2200,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR002010,CUST2010,Brand Website,6500,8,8300,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR002011,CUST2011,Amazon,3910,4,5010,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR002012,CUST2012,Flipkart,2460,2,2960,Jerseys,2,High,0.48,Debit Card,Low,No
PUR002013,CUST2013,Brand Website,7910,10,10110,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR002014,CUST2014,Local Store,1730,1,2030,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR002015,CUST2015,Amazon,5130,6,6430,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR002016,CUST2016,Brand Website,7190,9,9090,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002017,CUST2017,Flipkart,2890,3,3590,Gloves,3,High,0.42,Debit Card,Medium,No
PUR002018,CUST2018,Amazon,4490,5,5690,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR002019,CUST2019,Local Store,2010,1,2310,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002020,CUST2020,Brand Website,6340,8,8140,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002021,CUST2021,Amazon,4070,5,5170,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002022,CUST2022,Flipkart,2530,2,3030,Jerseys,2,High,0.52,Debit Card,Low,No
PUR002023,CUST2023,Brand Website,7570,10,9770,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR002024,CUST2024,Local Store,1700,1,1950,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR002025,CUST2025,Amazon,4950,6,6250,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR002026,CUST2026,Brand Website,6950,9,8850,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002027,CUST2027,Flipkart,3040,3,3740,Gloves,3,High,0.45,Debit Card,Medium,No
PUR002028,CUST2028,Amazon,4290,5,5490,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR002029,CUST2029,Local Store,1910,1,2210,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR002030,CUST2030,Brand Website,6510,8,8310,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR002031,CUST2031,Amazon,3920,4,5020,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR002032,CUST2032,Flipkart,2470,2,2970,Jerseys,2,High,0.48,Debit Card,Low,No
PUR002033,CUST2033,Brand Website,7920,10,10120,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR002034,CUST2034,Local Store,1740,1,2040,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR002035,CUST2035,Amazon,5140,6,6440,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR002036,CUST2036,Brand Website,7200,9,9100,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002037,CUST2037,Flipkart,2900,3,3600,Gloves,3,High,0.42,Debit Card,Medium,No
PUR002038,CUST2038,Amazon,4500,5,5700,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR002039,CUST2039,Local Store,2020,1,2320,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002040,CUST2040,Brand Website,6350,8,8150,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002041,CUST2041,Amazon,4080,5,5180,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002042,CUST2042,Flipkart,2540,2,3040,Jerseys,2,High,0.52,Debit Card,Low,No
PUR002043,CUST2043,Brand Website,7580,10,9780,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR002044,CUST2044,Local Store,1710,1,1960,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR002045,CUST2045,Amazon,4960,6,6260,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR002046,CUST2046,Brand Website,6960,9,8860,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002047,CUST2047,Flipkart,3050,3,3750,Gloves,3,High,0.45,Debit Card,Medium,No
PUR002048,CUST2048,Amazon,4300,5,5500,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR002049,CUST2049,Local Store,1920,1,2220,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR002050,CUST2050,Brand Website,6520,8,8320,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR002051,CUST2051,Amazon,3930,4,5030,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR002052,CUST2052,Flipkart,2480,2,2980,Jerseys,2,High,0.48,Debit Card,Low,No
PUR002053,CUST2053,Brand Website,7930,10,10130,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR002054,CUST2054,Local Store,1750,1,2050,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR002055,CUST2055,Amazon,5150,6,6450,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR002056,CUST2056,Brand Website,7210,9,9110,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002057,CUST2057,Flipkart,2910,3,3610,Gloves,3,High,0.42,Debit Card,Medium,No
PUR002058,CUST2058,Amazon,4510,5,5710,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR002059,CUST2059,Local Store,2030,1,2330,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002060,CUST2060,Brand Website,6360,8,8160,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002061,CUST2061,Amazon,4090,5,5190,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002062,CUST2062,Flipkart,2550,2,3050,Jerseys,2,High,0.52,Debit Card,Low,No
PUR002063,CUST2063,Brand Website,7590,10,9790,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR002064,CUST2064,Local Store,1720,1,1970,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR002065,CUST2065,Amazon,4970,6,6270,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR002066,CUST2066,Brand Website,6970,9,8870,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002067,CUST2067,Flipkart,3060,3,3760,Gloves,3,High,0.45,Debit Card,Medium,No
PUR002068,CUST2068,Amazon,4310,5,5510,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR002069,CUST2069,Local Store,1930,1,2230,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR002070,CUST2070,Brand Website,6530,8,8330,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR002071,CUST2071,Amazon,3940,4,5040,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR002072,CUST2072,Flipkart,2490,2,2990,Jerseys,2,High,0.48,Debit Card,Low,No
PUR002073,CUST2073,Brand Website,7940,10,10140,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR002074,CUST2074,Local Store,1760,1,2060,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR002075,CUST2075,Amazon,5160,6,6460,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR002076,CUST2076,Brand Website,7220,9,9120,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002077,CUST2077,Flipkart,2920,3,3620,Gloves,3,High,0.42,Debit Card,Medium,No
PUR002078,CUST2078,Amazon,4520,5,5720,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR002079,CUST2079,Local Store,2040,1,2340,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002080,CUST2080,Brand Website,6370,8,8170,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002081,CUST2081,Amazon,4100,5,5200,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002082,CUST2082,Flipkart,2560,2,3060,Jerseys,2,High,0.52,Debit Card,Low,No
PUR002083,CUST2083,Brand Website,7600,10,9800,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR002084,CUST2084,Local Store,1730,1,1980,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR002085,CUST2085,Amazon,4980,6,6280,Shoes,5,Medium,0.18,UPI,Medium,Yes
PUR002086,CUST2086,Brand Website,6980,9,8880,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002087,CUST2087,Flipkart,3070,3,3770,Gloves,3,High,0.45,Debit Card,Medium,No
PUR002088,CUST2088,Amazon,4320,5,5520,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR002089,CUST2089,Local Store,1940,1,2240,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR002090,CUST2090,Brand Website,6540,8,8340,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR002091,CUST2091,Amazon,3950,4,5050,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR002092,CUST2092,Flipkart,2500,2,3000,Jerseys,2,High,0.48,Debit Card,Low,No
PUR002093,CUST2093,Brand Website,7950,10,10150,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR002094,CUST2094,Local Store,1770,1,2070,Accessories,1,Medium,0.35,Cash on Delivery,Low,No
PUR002095,CUST2095,Amazon,5170,6,6470,Bats,5,Medium,0.17,UPI,Medium,Yes
PUR002096,CUST2096,Brand Website,7230,9,9130,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR002097,CUST2097,Flipkart,2930,3,3630,Gloves,3,High,0.42,Debit Card,Medium,No
PUR002098,CUST2098,Amazon,4530,5,5730,Shoes,4,Medium,0.22,UPI,Medium,Yes
PUR002099,CUST2099,Local Store,2050,1,2350,Accessories,1,High,0.59,Cash on Delivery,Low,No
PUR002100,CUST2100,Brand Website,6380,8,8180,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR002101,CUST2101,Amazon,4110,5,5210,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR002102,CUST2102,Flipkart,2570,2,3070,Jerseys,2,High,0.52,Debit Card,Low,No
